,REF_DATE,Air carrier levels,Aircraft and traffic servicing personnel,All other employees,All other fuel and oil,Gasoline,General management and administration employees,Maintenance personnel,Other flight personnel,Pilots and co-pilots,"Total, average number of employees","Total, fuel and oil consumption",Turbo fuel
0,2012,"Canadian air carriers, Level III",13905.0,7126.0,317.0,27997.0,64876.0,77511.0,14344.0,129573.0,307335.0,220562.0,192248.0
1,2012,"Canadian air carriers, Levels I and II",409824.0,350291.0,3776.0,,256858.0,658623.0,611718.0,1033190.0,3320504.0,5728343.0,5724567.0
2,2012,"Total, Canadian air carriers, Levels I to III",423729.0,357417.0,32090.0,,321734.0,736133.0,626063.0,1162763.0,3627839.0,5948905.0,5916815.0
3,2013,"Canadian air carriers, Level III",16646.0,10001.0,320.0,14474.0,61398.0,83990.0,13178.0,137637.0,322851.0,214908.0,200114.0
4,2013,"Canadian air carriers, Levels I and II",411846.0,383716.0,1991.0,,265703.0,658932.0,637465.0,1074654.0,3432316.0,5697837.0,5695846.0
5,2013,"Total, Canadian air carriers, Levels I to III",428492.0,393717.0,16784.0,,327102.0,742923.0,650642.0,1212291.0,3755167.0,5912745.0,5895961.0
6,2014,"Canadian air carriers, Level III",17435.0,8123.0,290.0,15121.0,67229.0,84963.0,13529.0,141777.0,333056.0,234329.0,218918.0
7,2014,"Canadian air carriers, Levels I and II",417475.0,401500.0,2684.0,,276329.0,670596.0,608690.0,1072895.0,3447486.0,6017445.0,6014761.0
8,2014,"Total, Canadian air carriers, Levels I to III",434910.0,409624.0,18095.0,,343558.0,755559.0,622219.0,1214672.0,3780542.0,6251774.0,6233679.0
9,2015,"Canadian air carriers, Level III",18047.0,9860.0,505.0,17518.0,63354.0,81782.0,15178.0,133393.0,321614.0,185212.0,167188.0
10,2015,"Canadian air carriers, Levels I and II",431487.0,438928.0,1957.0,,294134.0,697281.0,656623.0,1151823.0,3670277.0,4689557.0,4687600.0
11,2015,"Total, Canadian air carriers, Levels I to III",449534.0,448789.0,19980.0,,357488.0,779063.0,671801.0,1285216.0,3991891.0,4874769.0,4854789.0
12,2016,"Canadian air carriers, Level III",8075.0,15454.0,994.0,25530.0,44166.0,64593.0,7971.0,105249.0,245509.0,134868.0,108345.0
13,2016,"Canadian air carriers, Levels I and II",433578.0,548072.0,2392.0,,218855.0,692171.0,660485.0,1166062.0,3719223.0,4095003.0,4092611.0
14,2016,"Total, Canadian air carriers, Levels I to III",441654.0,563527.0,28915.0,,263021.0,756764.0,668456.0,1271311.0,3964732.0,4229871.0,4200956.0
